year,sex,music_lessons,music_participation,instrument_home,instrument_frequency,electronics_music,arts_tutoring,arts_community,arts_religious,gpa_norm
2014,2,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.7142857142857143
2014,2,1.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.9
2014,1,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.542
2014,2,5.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.5833333333333334
2014,1,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.95
2014,1,1.0,5.0,1.0,5.0,3.0,0.0,0.0,5.0,0.9
2014,1,5.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0,0.725
2014,1,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75
2014,2,1.0,1.0,1.0,2.0,1.0,0.0,5.0,0.0,1.0
2014,1,5.0,0.0,5.0,0.0,2.0,5.0,5.0,0.0,0.85
2014,1,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.875
2014,2,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.76
2014,2,1.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.65
2014,2,5.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0.85
2014,1,5.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.7916666666666666
2014,1,5.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.8
2014,1,5.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.675
2014,1,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.84
2014,1,1.0,1.0,1.0,6.0,2.0,0.0,5.0,5.0,0.6666666666666666
2014,1,1.0,1.0,1.0,1.0,4.0,0.0,5.0,0.0,0.5869565217391305
2014,2,5.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,0.673076923076923
2014,1,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.85
2014,2,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.85
2014,1,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.75
2014,1,5.0,0.0,1.0,5.0,1.0,0.0,5.0,0.0,0.95
2014,2,5.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.925
2014,2,5.0,0.0,5.0,0.0,1.0,0.0,5.0,5.0,0.8625
2014,2,,,,,,,,,0.715
2014,2,1.0,5.0,5.0,0.0,1.0,0.0,5.0,0.0,0.7175
2014,1,5.0,0.0,5.0,0.0,1.0,5.0,5.0,0.0,0.75
2014,2,1.0,5.0,5.0,0.0,1.0,0.0,5.0,0.0,0.7446808510638298
2014,2,5.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0
2014,1,5.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0.825
2014,2,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.85
2014,1,5.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,0.8925
2014,2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7
2014,1,5.0,0.0,5.0,0.0,2.0,0.0,5.0,0.0,0.62
2014,1,5.0,0.0,5.0,0.0,1.0,0.0,5.0,5.0,0.725
2014,2,5.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.7
2014,1,5.0,0.0,1.0,5.0,2.0,0.0,5.0,0.0,0.25
2014,1,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0
2014,2,5.0,0.0,5.0,0.0,2.0,0.0,5.0,5.0,0.8297872340425532
2014,1,1.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.8
2014,2,5.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,0.75
2014,2,5.0,0.0,1.0,1.0,2.0,0.0,5.0,0.0,0.6458333333333334
2014,1,5.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.85
2014,2,1.0,1.0,1.0,5.0,4.0,0.0,1.0,5.0,1.0
2014,2,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.825
2014,1,5.0,0.0,1.0,1.0,1.0,5.0,5.0,5.0,0.911111111111111
2014,2,5.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.675
2014,2,5.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,0.85
2014,1,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.911764705882353
2014,2,1.0,1.0,1.0,6.0,2.0,0.0,0.0,5.0,1.0
2014,1,5.0,0.0,1.0,2.0,1.0,0.0,5.0,0.0,1.0
2014,1,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.45
2014,2,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.7
2014,2,1.0,1.0,1.0,1.0,2.0,0.0,5.0,0.0,0.872093023255814
2014,2,5.0,0.0,1.0,5.0,1.0,0.0,5.0,5.0,1.0
2014,2,5.0,0.0,5.0,0.0,2.0,0.0,5.0,5.0,1.0
2014,1,5.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.5813953488372093
2014,1,5.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0.675
2014,1,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.78
2014,2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.95
2014,2,5.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.976190476190476
2014,2,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.75
2014,1,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
2014,2,5.0,0.0,5.0,0.0,1.0,0.0,5.0,5.0,0.8
2014,1,5.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0,0.8355555555555555
2014,1,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0
2014,1,5.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.7000000000000001
2014,2,1.0,1.0,1.0,3.0,2.0,5.0,5.0,1.0,0.6444444444444444
2014,1,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.9275
2014,1,5.0,0.0,1.0,6.0,1.0,0.0,0.0,5.0,0.9375
2014,2,1.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0
2014,1,5.0,0.0,5.0,0.0,2.0,5.0,5.0,0.0,0.7
2014,2,5.0,0.0,1.0,4.0,1.0,0.0,0.0,5.0,0.925
2014,1,5.0,0.0,1.0,6.0,1.0,0.0,1.0,5.0,0.995
2014,2,1.0,5.0,1.0,6.0,1.0,0.0,5.0,1.0,0.8837209302325582
2014,1,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.735
2014,1,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0
2014,1,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.6875
2014,2,5.0,0.0,1.0,6.0,1.0,0.0,5.0,0.0,0.74
2014,1,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.975
