KIDS,KID14,ER30001,ER30002,ER32000,ER32006,ER34201,ER34202,ER34203,P14REL,P14E5,P14E6,P14E10_09,P14E15,P14E16_3,P14E26_5,P14E33_6,P14E53,C14REL,C14B12,C14B13
1,1.1,127,36,1,2,3066,4,30,2,1,2,0,5,0,5,0,4,,,
1,1.1,127,37,1,2,6375,3,30,2,5,0,0,5,0,0,5,2,,,
1,1.1,127,38,2,2,463,3,30,2,1,2,0,1,1,0,0,4,,,
1,1.1,127,39,2,2,7538,2,30,2,0,0,0,0,0,0,0,2,,,
1,1.1,127,40,2,2,6375,4,30,2,0,0,0,0,0,0,0,3,,,
1,1.1,129,42,1,2,8677,8,47,2,5,0,0,5,0,0,0,1,,,
1,1.2,129,48,2,2,8677,6,47,2,5,0,0,5,0,0,0,1,3,0,0
1,1.1,129,49,2,2,8677,7,47,2,5,0,5,5,0,0,0,1,,,
1,1.1,129,50,2,2,8677,3,30,2,0,0,0,0,0,0,0,1,,,
1,1.1,129,52,1,2,8677,5,30,2,0,0,0,0,0,0,0,0,,,
1,1.1,138,34,2,2,6385,3,30,2,0,0,0,0,0,0,0,3,,,
1,1.1,138,35,2,2,8314,4,30,2,0,0,0,0,0,0,0,0,,,
1,1.2,151,40,2,2,782,3,30,2,1,1,0,1,5,5,5,1,3,0,0
1,1.2,151,41,1,2,782,4,30,2,1,1,0,5,0,0,0,1,3,0,0
1,1.1,151,42,2,2,782,5,30,2,1,1,0,1,5,0,0,2,,,
1,1.1,151,43,1,2,782,6,30,2,0,0,0,0,0,0,0,2,,,
1,1.1,151,44,2,2,5318,3,30,2,0,0,0,0,0,0,0,0,,,
1,1.2,156,32,1,2,6779,3,30,2,1,2,0,5,0,5,0,1,3,0,0
1,1.2,156,33,1,2,6779,4,30,2,1,2,0,5,0,5,0,1,3,0,0
1,1.1,156,34,1,2,8276,3,30,2,5,0,0,5,0,0,0,2,,,
1,1.1,156,35,2,2,8276,4,30,2,5,0,0,1,5,5,0,5,,,
1,1.2,166,34,1,2,5745,3,30,2,1,4,0,1,1,0,5,5,3,0,0
1,1.1,166,35,1,2,5745,4,30,2,1,4,0,5,0,0,5,5,,,
1,1.2,172,37,1,2,4353,3,30,2,1,5,0,1,1,0,0,1,3,2.8,98
1,1.2,172,38,1,2,1311,2,30,2,5,0,0,5,0,0,0,1,3,3,4
1,1.2,172,39,2,2,4353,4,30,2,1,1,0,1,1,0,0,2,3,0,0
1,1.2,172,40,1,2,4855,4,60,2,5,0,0,5,0,0,5,1,3,3.8,4
1,1.2,172,41,1,2,4353,5,30,2,1,2,5,1,1,0,0,2,3,0,0
1,1.1,172,42,1,2,4855,5,60,2,5,0,0,1,1,0,0,1,,,
1,1.1,172,43,1,2,4353,6,30,2,1,6,0,5,0,0,0,1,,,
1,1.1,172,44,2,2,8054,3,30,2,0,0,0,0,0,0,0,0,,,
1,1.1,173,41,2,2,2785,4,30,2,5,0,5,5,0,0,0,0,,,
1,1.2,173,42,1,2,6571,3,30,2,5,0,0,5,0,0,5,5,3,0,0
1,1.2,173,43,1,2,6571,4,30,2,5,0,5,5,0,0,5,5,3,0,0
1,1.1,173,44,2,2,1675,3,30,2,0,0,0,0,0,0,0,2,,,
1,1.1,173,45,2,2,1930,3,30,2,0,0,0,0,0,0,0,0,,,
1,1.1,173,46,1,2,1930,4,30,2,0,0,0,0,0,0,0,0,,,
1,1.1,174,43,2,2,5223,3,30,2,0,0,0,0,0,0,0,0,,,
1,1.1,181,35,2,2,1791,3,30,2,0,0,0,0,0,0,0,5,,,
1,1.1,190,35,2,2,8458,4,35,2,5,0,0,5,0,0,0,1,,,
1,1.1,200,37,1,2,6846,3,30,2,5,0,0,5,0,0,0,2,,,
