KIDS,KID21,ER30001,ER30002,ER32000,ER32006,ER34901,ER34902,ER34903,P21REL,P21E5,P21E6,P21E10_09,P21E15,P21E16_3,P21E26_5,P21E33_6,P21E53A,C21REL,C21B12,C21B13,C21B31,C21B32,GPA_normalized
1,1.2,1394,41,2,2,3232,4,30,1,1,1,0,5,0,0,0,1,1.0,2.7,4.0,6.0,3.0,0.675
1,1.2,1406,36,1,2,6180,3,30,1,5,0,0,5,0,0,0,1,1.0,3.2,6.0,6.0,6.0,0.5333333333333333
1,1.2,1438,40,2,2,3575,2,30,1,5,0,0,5,0,0,0,1,1.0,3.6,4.0,6.0,6.0,0.9
1,1.2,1473,33,2,2,7165,3,30,1,5,0,0,5,0,5,0,1,1.0,4.2,5.0,7.0,7.0,0.8400000000000001
1,1.2,1473,34,2,2,3982,3,30,1,5,0,0,5,0,0,0,1,1.0,3.8,4.0,7.0,6.0,0.95
1,1.2,1473,35,1,2,7165,4,30,1,5,0,0,5,0,5,0,1,1.0,3.8,5.0,6.0,6.0,0.76
1,1.2,1496,36,1,2,7397,5,30,1,1,2,0,5,0,0,0,1,1.0,3.9,4.0,6.0,6.0,0.975
1,1.2,1571,45,1,2,3046,3,30,1,5,0,0,5,0,0,0,1,1.0,1.8,4.0,3.0,2.0,0.45
1,1.2,1579,46,1,2,3076,4,30,1,1,3,5,1,1,0,5,1,1.0,3.8,4.0,6.0,6.0,0.95
1,1.2,1579,51,2,2,3346,3,30,1,5,0,0,1,5,0,5,1,1.0,3.9,4.0,7.0,7.0,0.975
1,1.2,1583,34,2,2,7181,2,30,1,5,0,5,5,0,0,0,2,1.0,2.5,4.0,7.0,7.0,0.625
1,1.2,1633,30,2,2,5553,3,30,1,1,1,0,5,0,0,0,1,1.0,4.0,4.0,7.0,7.0,1.0
1,1.2,1633,31,1,2,7041,2,30,1,5,0,0,5,0,0,0,1,1.0,2.8,4.0,3.0,2.0,0.7
1,1.2,1652,39,2,2,2321,4,30,1,1,3,0,1,5,0,0,1,1.0,3.25,4.0,2.0,2.0,0.8125
1,1.2,1652,40,2,2,6004,3,30,1,1,5,0,1,1,5,5,1,1.0,3.8,4.0,6.0,6.0,0.95
1,1.2,1695,60,2,2,3572,3,33,1,1,1,0,5,0,0,0,1,1.0,3.66,4.5,2.0,2.0,0.8133333333333334
1,1.2,1695,61,2,2,2663,3,30,1,5,0,0,5,0,0,0,1,1.0,3.4,4.0,6.0,6.0,0.85
1,1.2,1695,65,1,2,3572,4,30,1,1,1,0,5,0,0,0,1,1.0,3.2,4.0,6.0,5.0,0.8
1,1.2,1697,54,2,2,8447,3,30,1,5,0,0,1,5,1,0,1,1.0,2.7,4.0,4.0,4.0,0.675
1,1.2,1726,35,2,2,4555,4,30,1,5,0,0,5,0,5,0,1,1.0,3.7,5.5,6.0,6.0,0.6727272727272727
1,1.2,1763,44,1,2,3341,3,30,1,5,0,0,5,0,0,0,1,1.0,3.7,4.0,6.0,6.0,0.925
1,1.2,1786,52,2,2,7295,2,30,1,5,0,0,5,0,5,0,1,1.0,3.8,4.0,3.0,3.0,0.95
1,1.2,1821,33,2,2,323,4,30,1,1,3,5,5,0,5,0,1,1.0,3.8,4.0,7.0,7.0,0.95
1,1.2,1839,41,1,2,4211,5,30,1,5,0,0,5,0,0,0,1,1.0,3.4,4.0,3.0,3.0,0.85
1,1.2,1935,31,1,2,883,4,30,1,5,0,5,5,0,0,0,1,1.0,2.9,4.0,7.0,6.0,0.725
1,1.2,1939,36,2,2,6191,4,30,1,1,3,5,1,5,0,0,1,1.0,4.6,4.8,6.0,6.0,0.9583333333333333
1,1.2,1956,32,2,2,7961,3,30,1,5,0,0,1,5,0,0,1,1.0,3.1,5.0,6.0,6.0,0.62
1,1.2,1961,32,2,2,499,3,30,1,1,1,0,5,0,0,0,1,1.0,3.4,4.0,3.0,3.0,0.85
1,1.2,1988,34,2,2,1596,3,30,1,5,0,0,5,0,5,0,2,1.0,3.7,5.0,5.0,6.0,0.74
1,1.2,2000,31,1,2,1112,4,30,1,1,5,0,1,1,0,5,1,1.0,3.9,4.2,6.0,6.0,0.9285714285714285
1,1.2,2017,38,1,2,2839,3,30,1,1,2,0,5,0,5,0,1,1.0,2.7,4.0,3.0,3.0,0.675
1,1.2,2019,33,1,2,3885,2,30,1,1,2,0,5,0,0,0,1,1.0,3.7,4.0,7.0,7.0,0.925
1,1.2,2028,34,2,2,1133,4,30,1,5,0,5,5,0,0,0,1,1.0,3.8,4.8,7.0,7.0,0.7916666666666666
1,1.2,2055,36,1,2,3014,2,30,1,5,0,0,5,0,0,0,1,1.0,3.8,4.0,6.0,6.0,0.95
1,1.2,2127,33,1,2,5239,3,30,1,5,0,0,5,0,0,0,1,1.0,3.1,4.1,6.0,6.0,0.7560975609756099
1,1.2,2133,39,1,2,3306,4,30,1,1,4,0,5,0,0,5,1,1.0,3.5,4.0,6.0,6.0,0.875
1,1.2,2151,45,2,2,5495,3,30,1,1,1,0,1,5,0,0,1,1.0,3.9,4.0,6.0,6.0,0.975
1,1.2,2181,50,2,2,3374,3,30,1,5,0,0,5,0,0,0,1,1.0,3.0,4.0,6.0,6.0,0.75
1,1.2,2252,33,1,2,567,3,30,1,5,0,0,5,0,0,0,1,1.0,3.5,4.0,6.0,6.0,0.875
1,1.2,2256,35,1,2,2964,3,30,1,1,4,0,5,0,0,0,2,1.0,4.0,4.0,6.0,7.0,1.0
1,1.2,2263,31,2,2,8233,3,30,1,1,1,0,5,0,5,0,2,1.0,3.77,5.0,7.0,7.0,0.754
1,1.2,2300,35,1,2,2270,3,30,1,1,1,0,5,0,0,0,1,1.0,3.9,4.0,6.0,6.0,0.975
1,1.2,2302,68,2,2,7843,3,60,1,1,3,0,5,0,0,5,1,1.0,2.71,3.0,6.0,6.0,0.9033333333333333
1,1.2,2302,69,2,2,4398,3,30,1,1,6,0,5,0,0,5,1,1.0,3.2,4.0,4.0,4.0,0.8
1,1.2,2373,32,1,2,46,4,30,1,5,0,0,5,0,0,0,4,1.0,3.75,4.0,6.0,6.0,0.9375
1,1.2,2500,34,1,2,1227,4,30,1,5,0,5,5,0,0,0,1,1.0,2.8,4.3,3.0,3.0,0.6511627906976744
1,1.2,2509,48,1,2,3669,3,30,1,5,0,0,5,0,0,0,1,1.0,4.4,5.0,6.0,6.0,0.8800000000000001
1,1.2,2524,39,1,2,4187,4,30,1,5,0,0,5,0,5,0,1,1.0,3.4,4.0,7.0,7.0,0.85
1,1.2,2578,31,2,2,3502,3,30,1,5,0,0,5,0,0,0,1,1.0,3.2,4.0,1.0,1.0,0.8
1,1.2,2615,65,1,2,5010,3,30,1,5,0,0,5,0,0,5,4,1.0,3.6,4.0,6.0,6.0,0.9
1,1.2,2615,66,1,2,4074,2,30,1,5,0,0,5,0,5,0,3,1.0,3.2,4.0,2.0,2.0,0.8
1,1.2,2646,38,1,2,6126,3,30,1,1,6,5,1,1,0,5,4,1.0,3.9,4.0,6.0,6.0,0.975
1,1.2,2661,55,1,2,7119,4,30,1,5,0,5,5,0,0,0,1,1.0,3.5,4.0,6.0,6.0,0.875
1,1.2,2664,33,1,2,1746,2,30,1,5,0,0,5,0,0,5,1,1.0,3.4,4.1,6.0,3.0,0.8292682926829269
1,1.2,2688,40,2,2,4704,3,30,1,5,0,0,5,0,0,0,1,1.0,2.2,4.0,7.0,6.0,0.55
1,1.2,2697,32,2,2,1756,3,30,1,1,5,0,1,1,0,0,2,1.0,4.1,4.5,7.0,6.0,0.911111111111111
1,1.2,2699,33,2,2,1918,3,30,1,1,3,5,5,0,5,0,1,1.0,3.9,4.0,6.0,6.0,0.975
1,1.2,2701,62,2,2,5829,4,30,1,5,0,0,5,0,0,0,5,1.0,3.4,4.0,2.0,6.0,0.85
1,1.2,2707,57,1,2,3959,3,30,1,5,0,0,1,5,0,0,1,1.0,3.7,4.0,6.0,6.0,0.925
1,1.2,2707,62,1,2,3959,4,30,1,5,0,0,5,0,0,0,1,1.0,3.1,4.0,6.0,6.0,0.775
1,1.2,2753,37,2,2,3298,3,30,1,1,6,5,5,0,0,0,1,1.0,3.9,4.0,6.0,6.0,0.975
1,1.2,2764,30,2,2,780,3,30,1,5,0,0,5,0,0,0,1,1.0,4.08,4.08,7.0,6.0,1.0
1,1.2,2770,35,1,2,940,4,30,1,5,0,0,5,0,0,0,1,1.0,3.0,4.2,5.0,5.0,0.7142857142857143
1,1.2,2771,36,2,2,6189,2,30,1,1,1,0,5,0,5,0,1,1.0,2.8,4.0,7.0,6.0,0.7
1,1.2,2786,36,1,2,3683,5,60,1,5,0,0,5,0,0,0,1,1.0,3.0,4.0,6.0,4.0,0.75
1,1.2,2794,33,1,2,2778,2,30,1,5,0,0,5,0,0,0,5,1.0,3.4,4.3,3.0,2.0,0.7906976744186046
1,1.2,2850,32,2,2,286,3,30,1,1,2,0,5,0,5,0,1,1.0,4.2,5.0,6.0,6.0,0.8400000000000001
1,1.2,2852,61,2,2,2261,3,33,1,5,0,0,5,0,0,0,1,1.0,3.7,4.0,4.0,2.0,0.925
1,1.2,2852,62,1,2,4022,2,30,1,5,0,0,5,0,0,0,1,1.0,2.5,4.0,6.0,6.0,0.625
1,1.2,2852,68,1,2,2726,2,30,1,1,1,0,5,0,0,0,1,1.0,3.2,4.0,4.0,4.0,0.8
1,1.2,2860,35,2,2,3832,3,30,1,1,2,0,1,1,5,0,1,1.0,4.2,5.0,6.0,6.0,0.8400000000000001
1,1.2,2881,178,2,3,6356,3,30,1,5,0,0,5,0,0,0,1,1.0,2.5,4.0,6.0,6.0,0.625
1,1.2,2885,36,1,2,1844,3,30,1,1,1,0,5,0,0,0,1,1.0,4.0,4.0,6.0,6.0,1.0
1,1.2,3057,32,1,2,6351,3,30,1,1,5,0,1,1,5,0,1,1.0,3.0,4.0,6.0,6.0,0.75
1,1.2,3095,33,2,2,1307,3,35,1,5,0,0,5,0,0,0,2,1.0,3.6,4.0,6.0,3.0,0.9
1,1.2,3137,33,1,2,832,3,30,1,5,0,0,5,0,0,5,1,1.0,3.4,4.5,7.0,6.0,0.7555555555555555
1,1.2,3172,30,1,2,3178,4,30,1,1,1,0,5,0,0,0,1,1.0,3.7,4.0,6.0,3.0,0.925
1,1.2,3190,30,1,2,1672,4,35,1,5,0,0,5,0,0,0,1,1.0,2.8,4.0,6.0,6.0,0.7
1,1.2,3191,30,2,2,1431,2,30,1,5,0,0,5,0,0,0,1,1.0,3.4,4.5,99.0,99.0,0.7555555555555555
1,1.2,3193,34,1,2,4543,4,30,1,5,0,0,5,0,0,0,1,1.0,3.6,4.0,2.0,2.0,0.9
1,1.2,3226,31,2,2,7770,4,30,1,1,5,0,5,0,5,0,1,1.0,3.4,5.0,7.0,7.0,0.6799999999999999
1,1.2,3242,31,1,2,2485,3,30,1,1,1,0,5,0,0,0,1,1.0,2.8,3.0,7.0,7.0,0.9333333333333332
