KIDS,KID14,ER30001,ER30002,ER32000,ER32006,ER34201,ER34202,ER34203,P14REL,P14E5,P14E6,P14E10_09,P14E15,P14E16_3,P14E26_5,P14E33_6,P14E53,C14REL,C14B12,C14B13,GPA_normalized
1,1.2,1161,31,2,2,6715,4,30,2.0,1.0,5.0,0.0,5.0,0.0,5.0,5.0,1.0,3.0,4.0,4.0,1.0
1,1.2,1163,46,2,2,1228,4,30,2.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,2.0,3.0,4.0,4.0,1.0
1,1.2,1185,36,1,2,4234,4,30,2.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,3.0,2.5,4.3,0.5813953488372093
1,1.2,1221,37,1,2,4849,4,30,2.0,1.0,1.0,0.0,5.0,0.0,0.0,5.0,1.0,3.0,2.7,4.0,0.675
1,1.2,1269,34,1,2,1425,3,30,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.9,5.0,0.78
1,1.2,1269,177,2,3,2869,3,30,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.8,4.0,0.95
1,1.2,1300,34,2,2,8841,3,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,4.1,4.2,0.976190476190476
1,1.2,1314,31,2,2,7582,4,30,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0,0.75
1,1.2,1315,40,1,2,4568,6,30,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,1.0
1,1.2,1335,57,2,2,7976,3,30,2.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,1.0,3.0,4.0,5.0,0.8
1,1.2,1335,62,1,2,3162,3,35,2.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,3.0,3.76,4.5,0.8355555555555555
1,1.2,1345,36,1,2,1887,3,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,1.0
1,1.2,1351,37,1,2,8166,4,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,4.9,7.0,0.7000000000000001
1,1.2,1383,183,2,3,8280,3,33,2.0,1.0,3.0,5.0,1.0,1.0,5.0,1.0,2.0,3.0,2.9,4.5,0.6444444444444444
1,1.2,1384,31,1,2,8629,3,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.71,4.0,0.9275
1,1.2,1384,32,1,2,8629,4,30,2.0,1.0,6.0,0.0,5.0,0.0,0.0,5.0,1.0,3.0,3.75,4.0,0.9375
1,1.2,1426,41,2,2,3403,2,30,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0
1,1.2,1426,188,1,3,5230,3,30,2.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,2.0,3.0,2.8,4.0,0.7
1,1.2,1434,36,2,2,1143,4,30,2.0,1.0,4.0,0.0,5.0,0.0,0.0,5.0,1.0,3.0,3.7,4.0,0.925
1,1.2,1434,37,1,2,4452,3,30,2.0,1.0,6.0,0.0,5.0,0.0,1.0,5.0,1.0,3.0,3.98,4.0,0.995
1,1.2,1445,38,2,2,4914,3,30,2.0,1.0,6.0,0.0,1.0,5.0,5.0,1.0,1.0,3.0,3.8,4.3,0.8837209302325582
1,1.2,1462,30,1,2,1395,3,30,2.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,2.94,4.0,0.735
1,1.2,1498,177,1,3,4870,3,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,1.0
1,1.2,1501,32,1,2,8172,3,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,2.75,4.0,0.6875
1,1.2,1540,33,2,2,5459,4,30,2.0,1.0,6.0,0.0,5.0,0.0,5.0,0.0,1.0,3.0,3.7,5.0,0.74
1,1.2,1542,42,1,2,8120,4,30,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.9,4.0,0.975
1,1.2,1571,41,1,2,1258,3,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.1,4.2,0.7380952380952381
1,1.2,1572,45,1,2,1205,5,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,2.9,4.5,0.6444444444444444
1,1.2,1572,46,1,2,1205,6,30,2.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,3.0,3.3,4.3,0.7674418604651163
1,1.2,1583,32,2,2,4337,2,30,2.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,3.0,3.2,4.0,0.8
1,1.2,1611,35,2,2,8788,3,30,2.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,3.0,3.5,4.0,0.875
1,1.2,1613,43,2,2,4154,3,30,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0,3.0,3.3,4.0,0.825
1,1.2,1628,34,1,2,1492,3,60,2.0,1.0,2.0,0.0,5.0,0.0,5.0,5.0,1.0,3.0,4.53,5.0,0.906
1,1.2,1645,33,2,2,604,3,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,3.5,4.0,0.875
1,1.2,1645,34,1,2,2174,3,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,3.0,3.8,4.0,0.95
1,1.2,1690,37,2,2,1944,4,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,2.6,4.0,0.65
1,1.2,1695,55,1,2,2506,4,30,2.0,1.0,6.0,5.0,1.0,1.0,5.0,5.0,2.0,3.0,3.4,4.0,0.85
1,1.2,1695,56,1,2,4463,3,30,2.0,1.0,6.0,0.0,1.0,1.0,5.0,5.0,2.0,3.0,3.66,4.0,0.915
