KIDS,KID19,ER30001,ER30002,ER32000,ER32006,ER34701,ER34702,ER34703,P19REL,P19E5,P19E6,P19E10_09,P19E15,P19E16_3,P19E26_5,P19E33_6,P19E53A,C19REL,C19B12,C19B13,GPA_normalized
1,1.2,1163,50,2,2,5526,4,30,1.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,2.0,2.0,4.25,5.0,0.85
1,1.2,1166,39,2,2,4481,4,60,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.7,4.0,0.925
1,1.2,1168,47,1,2,5216,5,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,3.5,4.0,0.875
1,1.2,1168,49,2,2,5336,2,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,2.3,4.0,0.575
1,1.2,1200,35,1,2,8210,3,30,1.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,3.87,4.0,0.9675
1,1.2,1222,38,2,2,3592,3,30,1.0,1.0,2.0,0.0,5.0,0.0,5.0,0.0,3.0,2.0,4.0,4.0,1.0
1,1.2,1222,39,2,2,3592,4,30,1.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,1.0
1,1.2,1222,40,2,2,3592,5,30,1.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.9,4.0,0.975
1,1.2,1236,34,2,2,709,4,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.98,4.0,0.995
1,1.2,1255,33,2,2,617,3,30,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,2.0,4.0,4.5,0.8888888888888888
1,1.2,1269,37,2,2,4998,5,30,1.0,5.0,0.0,0.0,1.0,5.0,5.0,0.0,1.0,2.0,4.0,5.0,0.8
1,1.2,1284,36,2,2,9359,3,30,1.0,5.0,0.0,0.0,1.0,5.0,5.0,0.0,1.0,2.0,4.1,4.3,0.9534883720930232
1,1.2,1288,32,1,2,644,3,30,1.0,1.0,1.0,5.0,5.0,0.0,5.0,0.0,1.0,2.0,3.0,4.2,0.7142857142857143
1,1.2,1301,32,2,2,320,3,60,1.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0
1,1.2,1314,32,1,2,1257,3,30,1.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,2.6,4.0,0.65
1,1.2,1314,33,2,2,340,3,30,1.0,1.0,2.0,0.0,5.0,0.0,5.0,5.0,1.0,2.0,3.7,4.0,0.925
1,1.2,1314,34,2,2,1257,4,30,1.0,1.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,4.0,0.75
1,1.2,1335,63,1,2,9034,3,30,1.0,1.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.8,4.0,0.7
1,1.2,1335,65,2,2,4520,3,30,1.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,2.4,4.0,0.6
1,1.2,1335,68,1,2,6882,2,30,1.0,1.0,1.0,0.0,5.0,0.0,5.0,5.0,1.0,2.0,3.1,4.0,0.775
1,1.2,1335,69,1,2,6896,3,30,1.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,2.65,4.0,0.6625
1,1.2,1342,33,2,2,263,3,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,2.3,4.0,0.575
1,1.2,1345,38,1,2,2059,4,30,1.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,1.0,2.0,3.98,4.0,0.995
1,1.2,1353,39,1,2,9474,3,30,1.0,1.0,5.0,0.0,5.0,0.0,5.0,5.0,2.0,2.0,2.8,4.0,0.7
1,1.2,1394,41,2,2,4532,5,30,1.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.1,4.0,0.775
1,1.2,1406,36,1,2,9220,3,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,2.0,3.2,4.0,0.8
1,1.2,1438,40,2,2,8494,2,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.2,4.0,0.8
1,1.2,1473,33,2,2,8634,3,30,1.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,2.0,4.2,5.0,0.8400000000000001
1,1.2,1480,36,1,2,1877,4,33,1.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,4.2,5.0,0.8400000000000001
1,1.2,1485,37,1,2,1868,2,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,2.67,4.0,0.6675
1,1.2,1485,180,2,3,2413,3,33,1.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,3.0,4.3,0.6976744186046512
1,1.2,1496,33,2,2,219,3,30,1.0,1.0,3.0,0.0,5.0,0.0,5.0,5.0,1.0,2.0,4.3,5.0,0.86
1,1.2,1496,35,2,2,219,4,30,1.0,1.0,2.0,0.0,5.0,0.0,5.0,5.0,1.0,2.0,4.0,5.0,0.8
1,1.2,1498,42,2,2,7740,3,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.4,4.0,0.85
1,1.2,1501,33,1,2,2686,4,30,1.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,2.35,4.0,0.5875
1,1.2,1533,37,1,2,3009,6,30,1.0,1.0,3.0,5.0,1.0,5.0,5.0,0.0,4.0,2.0,0.1,0.1,1.0
1,1.2,1565,40,1,2,3895,3,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,0.5
1,1.2,1570,184,2,3,183,3,30,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,2.0,2.8,4.0,0.7
1,1.2,1571,43,1,2,4980,2,30,1.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.5
1,1.2,1571,45,1,2,4980,3,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,2.0,2.8,4.0,0.7
1,1.2,1572,50,2,2,7347,2,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.8,4.0,0.95
1,1.2,1579,44,2,2,5931,3,30,1.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0
1,1.2,1579,46,1,2,5931,4,30,1.0,1.0,6.0,0.0,1.0,1.0,5.0,0.0,1.0,2.0,4.0,4.0,1.0
1,1.2,1583,33,2,2,7174,4,35,1.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,1.0,2.0,3.8,4.0,0.95
1,1.2,1633,30,2,2,1991,3,30,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,5.0,2.0,3.76,4.0,0.94
1,1.2,1633,31,1,2,2297,2,30,1.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.75
1,1.2,1652,36,1,2,5645,3,30,1.0,1.0,4.0,0.0,1.0,5.0,0.0,0.0,1.0,2.0,3.3,4.0,0.825
1,1.2,1652,38,1,2,4989,4,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,3.35,4.0,0.8375
1,1.2,1682,36,2,2,3261,3,30,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.7,4.2,0.8809523809523809
1,1.2,1695,60,2,2,5132,3,33,1.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,2.0,3.75,4.0,0.9375
1,1.2,1695,61,2,2,8030,3,30,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.4,4.0,0.85
1,1.2,1695,62,1,2,8417,3,30,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.83,4.0,0.9575
1,1.2,1697,54,2,2,5758,3,30,1.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.25
