KIDS,KID19,ER30001,ER30002,ER32000,ER32006,ER34701,ER34702,ER34703,P19REL,P19E5,P19E6,P19E10_09,P19E15,P19E16_3,P19E26_5,P19E33_6,P19E53A,C19REL,C19B12,C19B13
1,1.1,84,190,1,3,7341,3,30,1,0,0,0,0,0,0,0,0,,,
1,1.2,88,38,1,2,8476,3,30,1,1,2,5,1,5,5,5,1,2,0,0
1,1.1,88,39,2,2,8476,4,30,1,1,5,0,1,5,0,0,1,,,
1,1.1,88,41,2,2,7278,3,30,1,0,0,0,0,0,0,0,2,,,
1,1.1,88,42,2,2,7278,4,30,1,0,0,0,0,0,0,0,2,,,
1,1.1,96,36,1,2,1555,3,30,1,1,5,5,5,0,5,5,1,,,
1,1.1,96,37,2,2,1555,4,30,1,0,0,0,0,0,0,0,5,,,
1,1.1,96,38,2,2,2331,3,30,1,0,0,0,0,0,0,0,0,,,
1,1.2,105,43,2,2,6536,3,30,1,5,0,0,5,0,0,5,1,2,998,4
1,1.1,105,44,1,2,6420,2,30,1,5,0,0,5,0,0,0,2,,,
1,1.1,105,45,2,2,8672,4,60,1,0,0,0,0,0,0,0,0,,,
1,1.1,105,185,2,3,6153,2,30,1,5,0,0,5,0,0,0,1,,,
1,1.1,105,198,1,3,4739,3,30,1,0,0,0,0,0,0,0,0,,,
1,1.2,113,33,2,2,874,4,30,1,1,2,0,5,0,5,0,2,2,0,0
1,1.1,113,34,2,2,874,5,30,1,1,5,5,1,1,5,5,2,,,
1,1.2,114,36,2,2,9075,3,30,1,5,0,0,5,0,5,0,1,2,3.5,4
1,1.2,114,37,1,2,9075,4,30,1,1,1,0,5,0,0,0,2,2,0,0
1,1.2,121,39,2,2,5346,3,33,1,1,1,0,5,0,0,0,1,2,998,98
1,1.2,121,40,2,2,5346,4,33,1,1,5,0,1,1,0,5,1,2,0,0
1,1.2,122,41,1,2,9566,3,30,1,5,0,5,5,0,0,0,1,2,998,4
1,1.2,122,42,2,2,4568,3,30,1,5,0,0,1,5,0,0,2,2,998,4
1,1.2,122,43,2,2,9566,4,30,1,5,0,5,1,1,5,0,1,2,998,98
1,1.1,127,38,2,2,5896,3,30,1,5,0,0,1,5,5,0,2,,,
1,1.1,127,41,2,2,5896,4,30,1,0,0,0,0,0,0,0,2,,,
1,1.1,138,35,2,2,3877,4,30,1,1,5,0,5,0,0,5,0,,,
1,1.1,138,36,1,2,3877,5,30,1,0,0,0,0,0,0,0,0,,,
1,1.2,151,40,2,2,6472,3,30,1,5,0,0,5,0,0,0,1,2,4.1,5
1,1.2,151,41,1,2,6472,4,30,1,5,0,0,5,0,0,0,3,2,0,0
1,1.1,151,42,2,2,6472,5,30,1,5,0,0,1,1,0,0,1,,,
1,1.2,151,43,1,2,6472,6,30,1,5,0,0,5,0,0,0,4,2,0,0
1,1.1,151,44,2,2,7549,3,30,1,5,0,0,1,1,0,0,4,,,
1,1.1,151,45,2,2,7357,3,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,151,46,1,2,4944,3,30,1,0,0,0,0,0,0,0,2,,,
1,1.1,151,47,2,2,7549,4,30,1,0,0,0,0,0,0,0,4,,,
1,1.1,151,48,2,2,4944,4,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,151,49,1,2,7357,4,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,151,50,1,2,7549,5,30,1,0,0,0,0,0,0,0,0,,,
1,1.2,156,33,1,2,2964,4,30,1,5,0,0,5,0,0,5,0,2,998,98
1,1.1,156,34,1,2,3417,3,30,1,5,0,0,1,1,0,0,2,,,
1,1.1,156,35,2,2,3417,4,30,1,5,0,0,1,5,0,0,1,,,
1,1.1,165,33,1,2,738,3,30,1,0,0,0,0,0,0,0,5,,,
1,1.1,165,34,1,2,738,4,30,1,0,0,0,0,0,0,0,5,,,
1,1.2,166,34,1,2,944,3,30,1,1,1,0,5,0,0,0,1,2,4,98
1,1.2,166,35,1,2,944,4,30,1,1,1,5,5,0,0,5,2,2,0,0
1,1.1,172,41,1,2,5060,4,30,1,1,1,5,5,0,0,0,4,,,
1,1.2,172,42,1,2,8802,2,60,1,5,0,0,5,0,5,5,1,2,1.89,4
1,1.1,172,43,1,2,5060,5,30,1,1,1,0,5,0,0,5,1,,,
1,1.1,172,44,2,2,7865,3,30,1,1,5,0,1,1,0,0,2,,,
1,1.1,172,45,2,2,7865,4,30,1,0,0,0,0,0,0,0,2,,,
1,1.2,173,43,1,2,174,4,33,1,5,0,0,5,0,0,0,5,2,0,0
1,1.1,173,44,2,2,703,3,30,1,1,1,0,5,0,5,5,1,,,
1,1.2,173,45,2,2,682,3,30,1,5,0,5,5,0,0,5,5,2,0,0
1,1.1,173,46,1,2,682,4,30,1,5,0,0,5,0,0,5,5,,,
1,1.1,173,47,2,2,58,3,35,1,0,0,0,0,0,0,0,3,,,
1,1.1,173,48,2,2,703,4,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,173,49,1,2,1158,3,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,173,50,2,2,58,4,35,1,0,0,0,0,0,0,0,3,,,
1,1.1,174,43,2,2,1599,3,30,1,5,0,0,1,5,5,5,4,,,
1,1.1,174,44,2,2,1599,4,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,174,45,2,2,1779,3,30,1,0,0,0,0,0,0,0,4,,,
1,1.1,174,46,2,2,1779,4,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,180,34,2,2,2940,2,30,1,5,0,5,5,0,0,0,5,,,
1,1.1,180,35,2,2,2940,3,30,1,0,0,0,0,0,0,0,4,,,
